"POUND FOR POUND TEAM","BLUE","MASTER 2","MALE","FEATHER","1"
"POUND FOR POUND TEAM","WHITE","MASTER 1","MALE","LIGHT","1"
"POUND FOR POUND TEAM","WHITE","MASTER 1","MALE","MEDIUM HEAVY","1"
"POUND FOR POUND TEAM","WHITE","MASTER 1","MALE","FEATHER","1"
"POUND FOR POUND TEAM","BLUE","MASTER 1","MALE","HEAVY","1"
"POUND FOR POUND TEAM","BLUE","MASTER 1","MALE","MIDDLE","1"
"POUND FOR POUND TEAM","BLUE","MASTER 2","MALE","LIGHT","1"
"POUND FOR POUND TEAM","BLUE","ADULT","MALE","FEATHER","1"
"POUND FOR POUND TEAM","BLUE","ADULT","MALE","MIDDLE","2"
"POUND FOR POUND TEAM","BLACK","MASTER 5","MALE","LIGHT","1"
"POUND FOR POUND TEAM","BROWN","MASTER 4","MALE","FEATHER","1"
"POUND FOR POUND TEAM","BLUE","ADULT","MALE","SUPER HEAVY","1"
"POUND FOR POUND TEAM","BLUE","MASTER 2","MALE","HEAVY","1"
"POUND FOR POUND TEAM","WHITE","ADULT","MALE","LIGHT","2"
"POUND FOR POUND TEAM","BLACK","MASTER 2","MALE","MEDIUM HEAVY","1"
"POUND FOR POUND TEAM","WHITE","ADULT","MALE","MEDIUM HEAVY","1"
"POUND FOR POUND TEAM","WHITE","ADULT","FEMALE","MEDIUM HEAVY","1"
"POUND FOR POUND TEAM","BLUE","MASTER 3","MALE","FEATHER","1"
"POUND FOR POUND TEAM","BLUE","MASTER 2","MALE","MIDDLE","1"
"POUND FOR POUND TEAM","WHITE","ADULT","FEMALE","LIGHT","2"
"POUND FOR POUND TEAM","BLUE","MASTER 3","MALE","HEAVY","1"
"POUND FOR POUND TEAM","BROWN","ADULT","MALE","FEATHER","1"
"POUND FOR POUND TEAM","BLUE","ADULT","MALE","LIGHT","2"
"BRAZILIAN JIU-JITSU TEAM MALTA","BLUE","ADULT","MALE","FEATHER","1"
"BRAZILIAN JIU-JITSU TEAM MALTA","BROWN","MASTER 2","MALE","LIGHT FEATHER","1"
"BRAZILIAN JIU-JITSU TEAM MALTA","PURPLE","ADULT","FEMALE","LIGHT FEATHER","1"
"BRAZILIAN JIU-JITSU TEAM MALTA","BLUE","MASTER 2","MALE","LIGHT","1"
"MMA ISRAEL BJJ","WHITE","ADULT","MALE","LIGHT FEATHER","2"
"MMA ISRAEL BJJ","PURPLE","MASTER 1","MALE","FEATHER","1"
"MMA ISRAEL BJJ","BLUE","JUVENILE 1","MALE","MIDDLE","1"
"MMA ISRAEL BJJ","PURPLE","MASTER 2","MALE","LIGHT","1"
"MMA ISRAEL BJJ","BLACK","MASTER 1","MALE","MIDDLE","1"
"MMA ISRAEL BJJ","PURPLE","ADULT","MALE","LIGHT","1"
"MMA ISRAEL BJJ","WHITE","JUVENILE 1","MALE","LIGHT","1"
"MMA ISRAEL BJJ","BLUE","MASTER 4","MALE","FEATHER","1"
"MMA ISRAEL BJJ","BLUE","ADULT","MALE","FEATHER","1"
"MMA ISRAEL BJJ","BROWN","ADULT","MALE","LIGHT","1"
"MMA ISRAEL BJJ","WHITE","ADULT","MALE","MIDDLE","2"
"MMA ISRAEL BJJ","BLUE","MASTER 1","MALE","FEATHER","1"
"MMA ISRAEL BJJ","BLUE","MASTER 3","MALE","MEDIUM HEAVY","1"
"MMA ISRAEL BJJ","BROWN","MASTER 2","MALE","FEATHER","1"
"MMA ISRAEL BJJ","PURPLE","ADULT","MALE","FEATHER","1"
"MMA ISRAEL BJJ","WHITE","JUVENILE 2","MALE","FEATHER","1"
"MMA ISRAEL BJJ","PURPLE","ADULT","MALE","LIGHT FEATHER","1"
"MMA ISRAEL BJJ","BLUE","MASTER 1","MALE","HEAVY","1"
"MMA ISRAEL BJJ","BLACK","MASTER 2","MALE","LIGHT","1"
"MMA ISRAEL BJJ","BLUE","JUVENILE 1","MALE","MEDIUM HEAVY","1"
"MMA ISRAEL BJJ","PURPLE","MASTER 5","MALE","MIDDLE","1"
"MMA ISRAEL BJJ","BLUE","ADULT","MALE","LIGHT","1"
"OPEN MAT MIXED MARTIAL ARTS","BLUE","ADULT","MALE","FEATHER","1"
"OPEN MAT MIXED MARTIAL ARTS","BROWN","ADULT","MALE","LIGHT FEATHER","1"
"OPEN MAT MIXED MARTIAL ARTS","BLUE","ADULT","MALE","LIGHT FEATHER","1"
"OPEN MAT MIXED MARTIAL ARTS","PURPLE","ADULT","MALE","LIGHT FEATHER","1"
"HILTI","PURPLE","ADULT","MALE","FEATHER","1"
"HILTI","PURPLE","ADULT","MALE","LIGHT","1"
"HILTI","PURPLE","ADULT","MALE","LIGHT FEATHER","2"
"CSA","PURPLE","MASTER 5","MALE","MIDDLE","1"
"CSA","WHITE","ADULT","FEMALE","LIGHT FEATHER","1"
"EQUIPE GAVIO JJ","BLACK","MASTER 1","FEMALE","FEATHER","1"
"EQUIPE GAVIO JJ","BROWN","ADULT","MALE","LIGHT","1"
"EQUIPE GAVIO JJ","BLACK","MASTER 1","FEMALE","MEDIUM HEAVY","1"
"MB ACADEMY","BLUE","ADULT","MALE","MIDDLE","1"
"MB ACADEMY","WHITE","ADULT","MALE","LIGHT FEATHER","1"
"MB ACADEMY","BLUE","MASTER 3","MALE","LIGHT FEATHER","1"
"MB ACADEMY","WHITE","ADULT","FEMALE","MIDDLE","1"
"MB ACADEMY","BLUE","MASTER 1","MALE","MIDDLE","1"
"MB ACADEMY","WHITE","ADULT","MALE","LIGHT","1"
"MB ACADEMY","BROWN","MASTER 5","MALE","HEAVY","1"
"MB ACADEMY","BLUE","ADULT","MALE","FEATHER","1"
"MB ACADEMY","BLUE","MASTER 4","MALE","LIGHT","1"
"MB ACADEMY","BLUE","MASTER 1","MALE","MEDIUM HEAVY","1"
"MB ACADEMY","BLUE","MASTER 3","MALE","HEAVY","1"
"CHECKMAT INTERNATIONAL","BLUE","ADULT","MALE","MIDDLE","2"
"CHECKMAT INTERNATIONAL","PURPLE","ADULT","MALE","LIGHT","2"
"CHECKMAT INTERNATIONAL","WHITE","ADULT","MALE","LIGHT FEATHER","1"
"CHECKMAT INTERNATIONAL","BLUE","ADULT","FEMALE","LIGHT","1"
"CHECKMAT INTERNATIONAL","PURPLE","ADULT","MALE","LIGHT FEATHER","1"
"CHECKMAT INTERNATIONAL","PURPLE","MASTER 1","MALE","MEDIUM HEAVY","2"
"CHECKMAT INTERNATIONAL","BLACK","ADULT","MALE","MEDIUM HEAVY","2"
"CHECKMAT INTERNATIONAL","WHITE","ADULT","FEMALE","LIGHT","1"
"CHECKMAT INTERNATIONAL","BLACK","MASTER 1","MALE","LIGHT FEATHER","1"
"CHECKMAT INTERNATIONAL","BLUE","MASTER 1","MALE","MIDDLE","2"
"CHECKMAT INTERNATIONAL","WHITE","ADULT","MALE","FEATHER","1"
"CHECKMAT INTERNATIONAL","BLUE","ADULT","MALE","LIGHT","2"
"ACADEMIA ATITUDE/GRACIE HUMAITA","BLUE","MASTER 3","MALE","FEATHER","1"
"EQUIPE RODRIGO ALEIXO","BLUE","ADULT","MALE","LIGHT FEATHER","1"
"ACADEMIA COLISEU","BLUE","ADULT","MALE","LIGHT FEATHER","1"
"CHECKMAT","PURPLE","JUVENILE 2","MALE","LIGHT","1"
"CHECKMAT","BLACK","ADULT","MALE","MEDIUM HEAVY","2"
"CHECKMAT","BLUE","ADULT","MALE","HEAVY","2"
"CHECKMAT","BLUE","MASTER 1","MALE","LIGHT","2"
"CHECKMAT","PURPLE","MASTER 1","MALE","FEATHER","1"
"CHECKMAT","PURPLE","ADULT","FEMALE","MIDDLE","1"
"CHECKMAT","BLACK","ADULT","MALE","ROOSTER","1"
"CHECKMAT","BLACK","MASTER 1","MALE","MIDDLE","1"
"CHECKMAT","WHITE","MASTER 2","MALE","FEATHER","1"
"CHECKMAT","PURPLE","ADULT","MALE","LIGHT","2"
"CHECKMAT","WHITE","MASTER 1","MALE","MEDIUM HEAVY","1"
"CHECKMAT","BLACK","MASTER 1","FEMALE","MEDIUM HEAVY","1"
"CHECKMAT","BROWN","MASTER 2","MALE","LIGHT FEATHER","1"
"CHECKMAT","BLUE","ADULT","FEMALE","MIDDLE","1"
"CHECKMAT","BLACK","ADULT","MALE","SUPER HEAVY","1"
"CHECKMAT","BLUE","MASTER 3","MALE","ULTRA HEAVY","1"
"CHECKMAT","PURPLE","ADULT","MALE","ROOSTER","1"
"CHECKMAT","BLUE","ADULT","FEMALE","LIGHT","2"
"CHECKMAT","WHITE","ADULT","FEMALE","LIGHT","2"
"CHECKMAT","PURPLE","ADULT","FEMALE","HEAVY","1"
"CHECKMAT","PURPLE","MASTER 5","MALE","MIDDLE","1"
"CHECKMAT","BROWN","MASTER 4","MALE","HEAVY","1"
"CHECKMAT","BLACK","MASTER 4","MALE","MIDDLE","1"
"CHECKMAT","WHITE","ADULT","MALE","HEAVY","2"
"CHECKMAT","BLACK","ADULT","MALE","ULTRA HEAVY","2"
"CHECKMAT","BROWN","MASTER 1","MALE","FEATHER","2"
"CHECKMAT","BLUE","JUVENILE 1","MALE","MIDDLE","1"
"CHECKMAT","BLUE","ADULT","MALE","LIGHT FEATHER","1"
"CHECKMAT","WHITE","MASTER 2","MALE","HEAVY","1"
"CHECKMAT","BROWN","MASTER 3","MALE","MIDDLE","2"
"CHECKMAT","WHITE","ADULT","FEMALE","FEATHER","1"
"CHECKMAT","WHITE","ADULT","MALE","ULTRA HEAVY","2"
"CHECKMAT","PURPLE","ADULT","MALE","HEAVY","2"
"CHECKMAT","BLUE","MASTER 2","MALE","LIGHT","2"
"CHECKMAT","WHITE","ADULT","MALE","MIDDLE","1"
"CHECKMAT","BROWN","ADULT","MALE","HEAVY","1"
"CHECKMAT","BLACK","MASTER 2","MALE","HEAVY","1"
"CHECKMAT","BLUE","MASTER 3","MALE","MEDIUM HEAVY","2"
"CHECKMAT","PURPLE","MASTER 1","MALE","HEAVY","2"
"CHECKMAT","BROWN","ADULT","FEMALE","FEATHER","1"
"CHECKMAT","BLACK","MASTER 1","MALE","LIGHT","1"
"CHECKMAT","BLACK","MASTER 2","MALE","MIDDLE","1"
"CHECKMAT","BLUE","ADULT","FEMALE","LIGHT FEATHER","2"
"CHECKMAT","BLUE","MASTER 3","MALE","SUPER HEAVY","1"
"CHECKMAT","BLUE","MASTER 1","MALE","ULTRA HEAVY","2"
"CHECKMAT","PURPLE","MASTER 1","MALE","MEDIUM HEAVY","2"
"CHECKMAT","PURPLE","MASTER 1","MALE","LIGHT","2"
"CHECKMAT","BLUE","MASTER 1","MALE","HEAVY","2"
"CHECKMAT","WHITE","JUVENILE 1","MALE","MEDIUM HEAVY","1"
"CHECKMAT","BLUE","MASTER 4","MALE","ULTRA HEAVY","1"
"CHECKMAT","PURPLE","ADULT","MALE","MIDDLE","1"
"CHECKMAT","BLACK","ADULT","FEMALE","MIDDLE","1"
"CHECKMAT","BLACK","ADULT","MALE","HEAVY","2"
"CHECKMAT","BLUE","MASTER 2","MALE","SUPER HEAVY","2"
"CHECKMAT","WHITE","MASTER 2","MALE","MEDIUM HEAVY","2"
"CHECKMAT","PURPLE","MASTER 3","MALE","LIGHT","1"
"CHECKMAT","BLUE","JUVENILE 2","MALE","LIGHT FEATHER","1"
"CHECKMAT","BLUE","MASTER 1","MALE","MEDIUM HEAVY","1"
"CHECKMAT","BLACK","MASTER 3","MALE","ULTRA HEAVY","1"
"CHECKMAT","PURPLE","MASTER 3","MALE","MEDIUM HEAVY","1"
"CHECKMAT","BLUE","JUVENILE 2","MALE","ULTRA HEAVY","1"
"CHECKMAT","BROWN","MASTER 1","MALE","SUPER HEAVY","1"
"CHECKMAT","BLUE","MASTER 1","MALE","MIDDLE","2"
"CHECKMAT","PURPLE","MASTER 2","MALE","HEAVY","1"
"CHECKMAT","BLUE","ADULT","FEMALE","MEDIUM HEAVY","1"
"CHECKMAT","WHITE","MASTER 1","MALE","HEAVY","1"
"CHECKMAT","PURPLE","MASTER 3","MALE","MIDDLE","2"
"CHECKMAT","BROWN","MASTER 2","MALE","SUPER HEAVY","1"
"CHECKMAT","BROWN","ADULT","MALE","MEDIUM HEAVY","1"
"CHECKMAT","PURPLE","MASTER 1","FEMALE","MIDDLE","1"
"CHECKMAT","BLUE","MASTER 1","MALE","FEATHER","2"
"CHECKMAT","WHITE","ADULT","MALE","LIGHT","2"
"CHECKMAT","BLACK","ADULT","FEMALE","MEDIUM HEAVY","1"
"CHECKMAT","BLACK","MASTER 3","MALE","MEDIUM HEAVY","1"
"CHECKMAT","BROWN","ADULT","MALE","LIGHT","1"
"CHECKMAT","BROWN","MASTER 1","MALE","MIDDLE","1"
"CHECKMAT","WHITE","MASTER 1","MALE","SUPER HEAVY","1"
"CHECKMAT","PURPLE","MASTER 1","FEMALE","FEATHER","1"
"CHECKMAT","PURPLE","MASTER 4","MALE","MEDIUM HEAVY","1"
"CHECKMAT","BLUE","ADULT","MALE","LIGHT","2"
"CHECKMAT","BROWN","ADULT","MALE","MIDDLE","1"
"CHECKMAT","BLUE","MASTER 3","MALE","MIDDLE","1"
"CHECKMAT","BLUE","ADULT","MALE","MEDIUM HEAVY","2"
"CHECKMAT","WHITE","ADULT","MALE","LIGHT FEATHER","2"
"CHECKMAT","WHITE","MASTER 2","MALE","MIDDLE","1"
"CHECKMAT","WHITE","ADULT","FEMALE","LIGHT FEATHER","1"
"CHECKMAT","BLACK","MASTER 3","MALE","MIDDLE","2"
"CHECKMAT","PURPLE","MASTER 1","MALE","ULTRA HEAVY","1"
"CHECKMAT","BLUE","MASTER 1","FEMALE","LIGHT","1"
"CHECKMAT","BLACK","ADULT","MALE","LIGHT","1"
"CHECKMAT","BROWN","ADULT","MALE","ULTRA HEAVY","1"
"CHECKMAT","WHITE","MASTER 1","MALE","MIDDLE","1"
"CHECKMAT","BLACK","MASTER 1","MALE","LIGHT FEATHER","2"
"CHECKMAT","PURPLE","MASTER 1","MALE","MIDDLE","2"
"CHECKMAT","BLUE","ADULT","MALE","ROOSTER","1"
"CHECKMAT","BLUE","ADULT","MALE","MIDDLE","2"
"CHECKMAT","BLUE","MASTER 5","MALE","MIDDLE","1"
"CHECKMAT","BLUE","ADULT","MALE","SUPER HEAVY","2"
"CHECKMAT","BLUE","MASTER 2","MALE","HEAVY","1"
"CHECKMAT","PURPLE","MASTER 2","MALE","LIGHT FEATHER","1"
"CHECKMAT","BLUE","JUVENILE 2","MALE","MEDIUM HEAVY","1"
"CHECKMAT","PURPLE","ADULT","MALE","FEATHER","1"
"CHECKMAT","PURPLE","ADULT","MALE","MEDIUM HEAVY","2"
"CHECKMAT","BLUE","MASTER 1","MALE","SUPER HEAVY","1"
"CHECKMAT","PURPLE","ADULT","MALE","LIGHT FEATHER","2"
"CHECKMAT","BLACK","MASTER 1","MALE","MEDIUM HEAVY","1"
"CHECKMAT","WHITE","MASTER 2","MALE","LIGHT","1"
"CHECKMAT","WHITE","ADULT","MALE","FEATHER","2"
"CHECKMAT","PURPLE","MASTER 2","MALE","MIDDLE","1"
"YAWARE","WHITE","JUVENILE 1","MALE","MEDIUM HEAVY","1"
"YAWARE","PURPLE","MASTER 3","MALE","MEDIUM HEAVY","1"
"WINNERJJ","BLUE","MASTER 1","MALE","SUPER HEAVY","1"
"B19RNK","PURPLE","MASTER 1","MALE","ULTRA HEAVY","1"
"MARIO SUKATA INTERNATIONAL","PURPLE","MASTER 1","MALE","MIDDLE","1"
"MARIO SUKATA INTERNATIONAL","BLUE","MASTER 4","MALE","MEDIUM HEAVY","1"
"MARIO SUKATA INTERNATIONAL","BLUE","MASTER 2","MALE","MEDIUM HEAVY","1"
"MARIO SUKATA INTERNATIONAL","BLACK","MASTER 2","MALE","MIDDLE","1"
"MARIO SUKATA INTERNATIONAL","BROWN","MASTER 1","MALE","MIDDLE","1"
"OXFORD SHOOTFIGHTER","BLUE","ADULT","MALE","LIGHT FEATHER","1"
"OXFORD SHOOTFIGHTER","BROWN","MASTER 1","MALE","LIGHT FEATHER","1"
"POWER MMA","PURPLE","ADULT","MALE","LIGHT FEATHER","1"
"BRUNO BASTOS ASSOCIATION","PURPLE","MASTER 1","MALE","MIDDLE","1"
"BRUNO BASTOS ASSOCIATION","PURPLE","ADULT","FEMALE","FEATHER","1"
"BRUNO BASTOS ASSOCIATION","BLACK","MASTER 1","MALE","ULTRA HEAVY","1"
"BRUNO BASTOS ASSOCIATION","BLUE","ADULT","FEMALE","LIGHT FEATHER","1"
"BRUNO BASTOS ASSOCIATION","BLACK","MASTER 2","MALE","FEATHER","1"
"POWERHOUSE SANREMO","BLACK","MASTER 1","MALE","FEATHER","1"
"SUL JIU-JITSU","BROWN","MASTER 1","MALE","MEDIUM HEAVY","1"
"SUL JIU-JITSU","WHITE","ADULT","MALE","MEDIUM HEAVY","1"
"SUL JIU-JITSU","PURPLE","ADULT","MALE","LIGHT","1"
"SUL JIU-JITSU","PURPLE","ADULT","MALE","MIDDLE","1"
"SUL JIU-JITSU","BROWN","ADULT","MALE","LIGHT","1"
"SUL JIU-JITSU","BLUE","ADULT","MALE","LIGHT","1"
"ASM JIU-JITSU - PALHOA","BLACK","MASTER 3","MALE","MEDIUM HEAVY","1"
"ASM JIU-JITSU - PALHOA","BLUE","ADULT","FEMALE","LIGHT","1"
"MATHIAS RIBEIRO TEAM","BROWN","ADULT","MALE","MIDDLE","1"
"MATHIAS RIBEIRO TEAM","BLUE","ADULT","MALE","MIDDLE","1"
"MATHIAS RIBEIRO TEAM","PURPLE","MASTER 5","MALE","MEDIUM HEAVY","1"
"MATHIAS RIBEIRO TEAM","BLUE","ADULT","MALE","MEDIUM HEAVY","1"
"MATHIAS RIBEIRO TEAM","WHITE","ADULT","FEMALE","MEDIUM HEAVY","1"
"MATHIAS RIBEIRO TEAM","PURPLE","MASTER 2","MALE","MEDIUM HEAVY","1"
"MATHIAS RIBEIRO TEAM","BLUE","MASTER 1","MALE","FEATHER","2"
"MATHIAS RIBEIRO TEAM","WHITE","ADULT","FEMALE","MIDDLE","1"
"MATHIAS RIBEIRO TEAM","PURPLE","ADULT","MALE","LIGHT FEATHER","1"
"MATHIAS RIBEIRO TEAM","PURPLE","MASTER 1","MALE","MIDDLE","1"
"MATHIAS RIBEIRO TEAM","BROWN","MASTER 1","MALE","LIGHT","1"
"MATHIAS RIBEIRO TEAM","BLUE","MASTER 1","MALE","HEAVY","1"
"MATHIAS RIBEIRO TEAM","BROWN","MASTER 3","MALE","HEAVY","1"
"MATHIAS RIBEIRO TEAM","PURPLE","ADULT","MALE","HEAVY","1"
"MATHIAS RIBEIRO TEAM","PURPLE","MASTER 2","MALE","FEATHER","1"
"MATHIAS RIBEIRO TEAM","WHITE","MASTER 1","MALE","SUPER HEAVY","1"
"MATHIAS RIBEIRO TEAM","BLUE","ADULT","FEMALE","FEATHER","1"
"RIO GRAPPLING CLUB ITALIA","BLUE","MASTER 1","MALE","FEATHER","1"
"RIO GRAPPLING CLUB ITALIA","BLUE","MASTER 1","MALE","LIGHT FEATHER","1"
"RIO GRAPPLING CLUB ITALIA","PURPLE","ADULT","FEMALE","LIGHT","1"
"RIO GRAPPLING CLUB ITALIA","PURPLE","MASTER 1","MALE","HEAVY","1"
"RIO GRAPPLING CLUB ITALIA","BROWN","ADULT","MALE","FEATHER","1"
"RIO GRAPPLING CLUB ITALIA","PURPLE","ADULT","MALE","MIDDLE","2"
"RIO GRAPPLING CLUB ITALIA","WHITE","MASTER 2","MALE","HEAVY","1"
"BRASA","BLUE","ADULT","MALE","MIDDLE","2"
"BRASA","PURPLE","ADULT","MALE","LIGHT","2"
"BRASA","WHITE","ADULT","MALE","LIGHT FEATHER","1"
"BRASA","BLUE","MASTER 1","MALE","MIDDLE","1"
"BRASA","BLUE","ADULT","MALE","FEATHER","2"
"BRASA","PURPLE","ADULT","MALE","MIDDLE","2"
"BRASA","BLUE","ADULT","MALE","LIGHT","2"
"HAGAKUR 83","BLUE","ADULT","MALE","FEATHER","1"
"HAGAKUR 83","BLACK","MASTER 3","MALE","LIGHT","1"
"HAGAKUR 83","BLUE","MASTER 1","MALE","MIDDLE","1"
"HAGAKUR 83","BLUE","MASTER 3","MALE","MIDDLE","1"
"HAGAKUR 83","BLUE","ADULT","MALE","MEDIUM HEAVY","1"
"TRI-FORCE JIU-JITSU ACADEMY","PURPLE","ADULT","MALE","ROOSTER","1"
"TRI-FORCE JIU-JITSU ACADEMY","BLACK","ADULT","MALE","ROOSTER","1"
"PRBJJ RONNY CARVALHO","BLACK","MASTER 2","MALE","SUPER HEAVY","1"
"PRBJJ RONNY CARVALHO","BLUE","MASTER 4","MALE","MIDDLE","1"
"PRBJJ RONNY CARVALHO","BLUE","ADULT","FEMALE","LIGHT FEATHER","1"
"PRBJJ RONNY CARVALHO","WHITE","MASTER 1","MALE","MEDIUM HEAVY","2"
"PRBJJ RONNY CARVALHO","BROWN","MASTER 2","MALE","HEAVY","1"
"PRBJJ RONNY CARVALHO","BLUE","ADULT","MALE","LIGHT","1"
"CONCRETE BJJ","BLACK","MASTER 4","MALE","FEATHER","1"
"GRACIE BARRA JJ","WHITE","ADULT","MALE","HEAVY","2"
"GRACIE BARRA JJ","BLACK","ADULT","MALE","MEDIUM HEAVY","2"
"GRACIE BARRA JJ","BLUE","MASTER 3","MALE","MIDDLE","1"
"GRACIE BARRA JJ","BLUE","ADULT","MALE","MEDIUM HEAVY","2"
"GRACIE BARRA JJ","WHITE","ADULT","MALE","LIGHT FEATHER","1"
"GRACIE BARRA JJ","BLUE","MASTER 1","MALE","LIGHT","2"
"GRACIE BARRA JJ","BLUE","MASTER 1","MALE","MEDIUM HEAVY","2"
"GRACIE BARRA JJ","WHITE","MASTER 1","MALE","LIGHT","2"
"GRACIE BARRA JJ","PURPLE","ADULT","MALE","LIGHT","2"
"GRACIE BARRA JJ","WHITE","MASTER 1","MALE","FEATHER","1"
"GRACIE BARRA JJ","WHITE","ADULT","MALE","SUPER HEAVY","1"
"GRACIE BARRA JJ","BLUE","MASTER 2","MALE","MIDDLE","2"
"GRACIE BARRA JJ","BLUE","MASTER 1","MALE","MIDDLE","2"
"GRACIE BARRA JJ","BLUE","ADULT","MALE","FEATHER","2"
"GRACIE BARRA JJ","WHITE","ADULT","MALE","MIDDLE","2"
"GRACIE BARRA JJ","BLUE","ADULT","MALE","MIDDLE","2"
"GRACIE BARRA JJ","BLUE","MASTER 2","MALE","HEAVY","1"
"GRACIE BARRA JJ","WHITE","ADULT","MALE","LIGHT","2"
"GRACIE BARRA JJ","BLUE","MASTER 2","MALE","MEDIUM HEAVY","2"
"GRACIE BARRA JJ","PURPLE","ADULT","MALE","FEATHER","2"
"GRACIE BARRA JJ","WHITE","ADULT","MALE","MEDIUM HEAVY","2"
"GRACIE BARRA JJ","PURPLE","MASTER 2","MALE","MIDDLE","2"
"GRACIE BARRA JJ","PURPLE","ADULT","MALE","MEDIUM HEAVY","2"
"GRACIE BARRA JJ","WHITE","MASTER 2","MALE","MIDDLE","1"
"GRACIE BARRA JJ","BLACK","MASTER 1","MALE","MEDIUM HEAVY","2"
"GRACIE BARRA JJ","PURPLE","MASTER 1","MALE","LIGHT","1"
"GRACIE BARRA JJ","BLUE","MASTER 1","MALE","HEAVY","1"
"GRACIE BARRA JJ","WHITE","ADULT","MALE","FEATHER","1"
"GRACIE BARRA JJ","PURPLE","ADULT","MALE","MIDDLE","2"
"GRACIE BARRA JJ","BLUE","ADULT","MALE","LIGHT","2"
"BRASA CAIO TERRA","BROWN","ADULT","MALE","MIDDLE","1"
"BRASA CAIO TERRA","BLUE","MASTER 4","MALE","MIDDLE","1"
"BRASA CAIO TERRA","WHITE","MASTER 1","MALE","HEAVY","1"
"BRASA CAIO TERRA","WHITE","ADULT","MALE","LIGHT FEATHER","2"
"BRASA CAIO TERRA","BLUE","MASTER 1","MALE","LIGHT","1"
"BRASA CAIO TERRA","PURPLE","MASTER 1","MALE","FEATHER","1"
"BRASA CAIO TERRA","PURPLE","ADULT","MALE","ULTRA HEAVY","1"
"BRASA CAIO TERRA","BLUE","JUVENILE 2","MALE","LIGHT FEATHER","1"
"BRASA CAIO TERRA","PURPLE","MASTER 2","MALE","ULTRA HEAVY","1"
"BRASA CAIO TERRA","BLACK","ADULT","MALE","ROOSTER","1"
"BRASA CAIO TERRA","BLACK","ADULT","MALE","LIGHT","1"
"BRASA CAIO TERRA","BLACK","MASTER 1","MALE","MIDDLE","1"
"BRASA CAIO TERRA","BLUE","ADULT","MALE","LIGHT FEATHER","1"
"BRASA CAIO TERRA","WHITE","MASTER 2","MALE","HEAVY","2"
"BRASA CAIO TERRA","BLUE","ADULT","FEMALE","FEATHER","1"
"BRASA CAIO TERRA","BROWN","MASTER 2","MALE","SUPER HEAVY","1"
"BRASA CAIO TERRA","BLACK","MASTER 2","MALE","FEATHER","1"
"BRASA CAIO TERRA","BROWN","ADULT","FEMALE","LIGHT","1"
"BRASA CAIO TERRA","PURPLE","MASTER 2","MALE","LIGHT","2"
"BRASA CAIO TERRA","WHITE","MASTER 1","MALE","LIGHT","2"
"BRASA CAIO TERRA","BLACK","MASTER 2","MALE","HEAVY","1"
"BRASA CAIO TERRA","PURPLE","MASTER 3","MALE","MEDIUM HEAVY","1"
"BRASA CAIO TERRA","PURPLE","ADULT","MALE","LIGHT","2"
"BRASA CAIO TERRA","BLUE","MASTER 3","MALE","MEDIUM HEAVY","1"
"BRASA CAIO TERRA","BLUE","MASTER 1","MALE","MEDIUM HEAVY","1"
"BRASA CAIO TERRA","WHITE","MASTER 1","MALE","MIDDLE","1"
"BRASA CAIO TERRA","BLUE","ADULT","MALE","MEDIUM HEAVY","2"
"BRASA CAIO TERRA","BROWN","MASTER 1","MALE","SUPER HEAVY","1"
"BRASA CAIO TERRA","PURPLE","MASTER 1","MALE","MIDDLE","2"
"BRASA CAIO TERRA","WHITE","ADULT","MALE","ULTRA HEAVY","2"
"BRASA CAIO TERRA","WHITE","ADULT","MALE","SUPER HEAVY","1"
"BRASA CAIO TERRA","BLUE","MASTER 2","MALE","MIDDLE","2"
"BRASA CAIO TERRA","BLUE","MASTER 1","MALE","MIDDLE","2"
"BRASA CAIO TERRA","BLACK","MASTER 3","MALE","MEDIUM HEAVY","2"
"BRASA CAIO TERRA","PURPLE","ADULT","MALE","HEAVY","2"
"BRASA CAIO TERRA","BLUE","MASTER 2","MALE","LIGHT","1"
"BRASA CAIO TERRA","BLUE","ADULT","MALE","FEATHER","2"
"BRASA CAIO TERRA","BLACK","MASTER 4","MALE","LIGHT","1"
"BRASA CAIO TERRA","BROWN","ADULT","MALE","LIGHT","2"
"BRASA CAIO TERRA","WHITE","ADULT","MALE","MIDDLE","1"
"BRASA CAIO TERRA","PURPLE","MASTER 3","MALE","MIDDLE","2"
"BRASA CAIO TERRA","BLUE","ADULT","MALE","MIDDLE","2"
"BRASA CAIO TERRA","BLACK","ADULT","MALE","FEATHER","1"
"BRASA CAIO TERRA","BROWN","ADULT","MALE","HEAVY","1"
"BRASA CAIO TERRA","BROWN","ADULT","MALE","MEDIUM HEAVY","1"
"BRASA CAIO TERRA","PURPLE","MASTER 2","MALE","MEDIUM HEAVY","2"
"BRASA CAIO TERRA","BLACK","MASTER 3","MALE","LIGHT","1"
"BRASA CAIO TERRA","BLACK","MASTER 2","MALE","LIGHT","2"
"BRASA CAIO TERRA","BLUE","MASTER 1","MALE","FEATHER","1"
"BRASA CAIO TERRA","WHITE","ADULT","MALE","ROOSTER","1"
"BRASA CAIO TERRA","BLUE","ADULT","MALE","SUPER HEAVY","1"
"BRASA CAIO TERRA","BLUE","ADULT","FEMALE","MEDIUM HEAVY","2"
"BRASA CAIO TERRA","BLUE","MASTER 2","MALE","HEAVY","1"
