"Academy","#Athlete","% Athlete","#Gold","#Silver","#Bonze","% Success","#Score"
"GILE RIBEIRO JJ","1","0.00028256569652444194","0","0","1","1.0","3539.0"
"GUIGO JJ","2","0.0005651313930488839","0","0","0","0.0","0.0"
"GRACIE ELITE TEAM","4","0.0011302627860977678","0","0","0","0.0","0.0"
"JACKSON PAULO TEAM","7","0.0019779598756710934","2","0","2","0.5714285714285714","4044.571428571429"
"HILTI BJJ TAMPERE","7","0.0019779598756710934","0","2","0","0.2857142857142857","2022.2857142857144"
"JUNGLE BJJ","2","0.0005651313930488839","0","1","0","0.5","3539.0"
"TEAM GIL CATARINO","31","0.0087595365922577","0","2","2","0.12903225806451613","684.9677419354839"
"ANDRE MANECO BJJ","1","0.00028256569652444194","1","0","0","1.0","10617.0"
"GRACIE REUNION JJ","2","0.0005651313930488839","0","0","0","0.0","0.0"
"GRACIE BARRA BENFICA, LISBOA","1","0.00028256569652444194","0","0","0","0.0","0.0"
"FIGHTZONE - STOCKHOLM","4","0.0011302627860977678","0","0","1","0.25","884.75"
"ACADEMIA PITBULL","1","0.00028256569652444194","0","1","0","1.0","7078.0"
"CYCLONE","5","0.0014128284826222096","1","1","2","0.8","4954.6"
"CHECK MAT BRASIL","1","0.00028256569652444194","0","0","0","0.0","0.0"
"ALLIANCE JJ","5","0.0014128284826222096","0","0","0","0.0","0.0"
"JIU-JITSU BROTHERHOOD","3","0.0008476970895733258","0","1","0","0.3333333333333333","2359.3333333333335"
"POGONA CLUB GYM","1","0.00028256569652444194","0","1","0","1.0","7078.0"
"HILTI BJJ KUOPIO","2","0.0005651313930488839","0","1","0","0.5","3539.0"
"ACADEMIE PYTHAGORE","14","0.003955919751342187","1","0","3","0.2857142857142857","1516.7142857142858"
"TEAM PREDADOR JIU-JITSU","8","0.0022605255721955355","0","1","2","0.375","1769.5"
"BEST WAY BJJ / AMERICAN TOP TEAM BOSTON","3","0.0008476970895733258","0","0","0","0.0","0.0"
"LE TEMPLE DES ARTS MARTIAUX","11","0.0031082226617688614","0","2","1","0.2727272727272727","1608.6363636363635"
"TOKUSHIMA BJJ","3","0.0008476970895733258","0","1","1","0.6666666666666666","3539.0"
"FERNANDO TERER","5","0.0014128284826222096","0","0","0","0.0","0.0"
"BARRETO","4","0.0011302627860977678","1","0","2","0.75","4423.75"
"JIU JITSU FACTORY","7","0.0019779598756710934","0","0","1","0.14285714285714285","505.5714285714286"
"CHECKMAT NANTES","1","0.00028256569652444194","0","0","0","0.0","0.0"
"ATOS JJ INTERNATIONAL","1","0.00028256569652444194","0","0","0","0.0","0.0"
"SBG INTERNATIONAL (SBGI)","6","0.0016953941791466515","1","0","0","0.16666666666666666","1769.5"
"GRACIE REUNION","18","0.005086182537439954","2","4","3","0.5","3342.388888888889"
"FROTA TEAM NOGUEIRA","17","0.004803616840915513","0","0","3","0.17647058823529413","624.5294117647059"
"JIU-JITSU 1 TEAM","3","0.0008476970895733258","1","0","1","0.6666666666666666","4718.666666666667"
"TRIANGLE ACADEMY REYSON GRACIE JIU JITSU","6","0.0016953941791466515","0","0","1","0.16666666666666666","589.8333333333334"
"STONE FIGHT","2","0.0005651313930488839","0","0","0","0.0","0.0"
"AKXE BJJ","1","0.00028256569652444194","0","0","0","0.0","0.0"
"CARLOS MAIA BRAZILIAN JIU-JITSU ACADEMY","11","0.0031082226617688614","1","1","0","0.18181818181818182","1608.6363636363635"
"NBREGA TEAM","3","0.0008476970895733258","1","1","0","0.6666666666666666","5898.333333333334"
"ABSOLUTO BJJ","12","0.003390788358293303","2","0","1","0.25","2064.416666666667"
"ESCOLA DE JJ LEO TEIXEIRA","6","0.0016953941791466515","0","0","0","0.0","0.0"
