"Game","#Athlete","Avg. round"
"PURPLE_MASTER_4_MALE_MEDIUM_HEAVY","5","2.8"
"BLUE_ADULT_MALE_LIGHT","106","6.339622641509434"
"BROWN_ADULT_MALE_MIDDLE","20","4.8"
"WHITE_JUVENILE_2_MALE_LIGHT","4","2.0"
"BLUE_MASTER_4_MALE_MIDDLE","6","2.6666666666666665"
"BLUE_MASTER_3_MALE_MIDDLE","18","4.888888888888889"
"BLUE_ADULT_MALE_MEDIUM_HEAVY","59","5.423728813559322"
"WHITE_ADULT_MALE_LIGHT_FEATHER","32","5.0"
"WHITE_JUVENILE_2_FEMALE_FEATHER","1","0.0"
"WHITE_ADULT_FEMALE_LIGHT_FEATHER","10","3.9"
"BLACK_MASTER_3_MALE_MIDDLE","8","3.0"
"BROWN_ADULT_MALE_SUPER_HEAVY","6","2.6666666666666665"
"BLACK_ADULT_MALE_LIGHT","16","4.0"
"PURPLE_MASTER_1_MALE_ULTRA_HEAVY","8","3.0"
"BLUE_MASTER_3_MALE_FEATHER","11","3.8181818181818183"
"WHITE_ADULT_FEMALE_MIDDLE","11","3.8181818181818183"
"PURPLE_ADULT_FEMALE_LIGHT","10","3.9"
"BROWN_MASTER_3_MALE_ULTRA_HEAVY","2","1.0"
"BLACK_ADULT_MALE_LIGHT_FEATHER","11","3.8181818181818183"
"BLUE_MASTER_1_FEMALE_LIGHT","9","4.0"
"BLACK_MASTER_6_MALE_LIGHT","2","1.0"
"BLUE_MASTER_5_MALE_SUPER_HEAVY","1","0.0"
"BROWN_ADULT_MALE_ULTRA_HEAVY","4","2.0"
"WHITE_MASTER_1_MALE_MIDDLE","17","4.9411764705882355"
"WHITE_MASTER_1_MALE_FEATHER","16","4.0"
"BLACK_MASTER_5_MALE_FEATHER","2","1.0"
"BLACK_MASTER_1_MALE_LIGHT_FEATHER","7","2.5714285714285716"
"BROWN_MASTER_1_MALE_LIGHT_FEATHER","5","2.8"
"PURPLE_MASTER_1_MALE_MIDDLE","33","5.757575757575758"
"BLUE_MASTER_2_MALE_MIDDLE","24","4.666666666666667"
"BLUE_MASTER_4_MALE_FEATHER","4","2.0"
"BLUE_MASTER_3_MALE_HEAVY","8","3.0"
"PURPLE_ADULT_FEMALE_MEDIUM_HEAVY","6","2.6666666666666665"
"BLUE_ADULT_MALE_ROOSTER","14","3.642857142857143"
"BLUE_ADULT_MALE_MIDDLE","96","6.375"
"PURPLE_MASTER_5_MALE_MEDIUM_HEAVY","2","1.0"
"PURPLE_MASTER_5_MALE_LIGHT","1","0.0"
"BLACK_MASTER_2_MALE_MEDIUM_HEAVY","10","3.9"
"BLUE_MASTER_5_MALE_MIDDLE","2","1.0"
"BLUE_JUVENILE_1_MALE_HEAVY","3","1.3333333333333333"
"BLUE_MASTER_3_MALE_LIGHT_FEATHER","1","0.0"
"BLACK_MASTER_4_MALE_LIGHT","5","2.8"
"BLUE_ADULT_MALE_SUPER_HEAVY","23","4.695652173913044"
"BLUE_MASTER_2_MALE_HEAVY","15","3.6"
"BROWN_ADULT_FEMALE_LIGHT_FEATHER","4","2.0"
"BROWN_MASTER_1_FEMALE_LIGHT","2","1.0"
"PURPLE_MASTER_2_MALE_LIGHT_FEATHER","2","1.0"
"BLUE_JUVENILE_2_MALE_MEDIUM_HEAVY","5","2.8"
"BLACK_MASTER_1_MALE_ULTRA_HEAVY","4","2.0"
"PURPLE_ADULT_MALE_FEATHER","40","5.625"
"BLUE_JUVENILE_2_MALE_FEATHER","5","2.8"
"PURPLE_ADULT_MALE_MIDDLE","51","5.490196078431373"
"WHITE_ADULT_MALE_MEDIUM_HEAVY","28","4.571428571428571"
"BLUE_MASTER_3_MALE_LIGHT","11","3.8181818181818183"
"PURPLE_ADULT_MALE_MEDIUM_HEAVY","44","5.568181818181818"
"BLUE_MASTER_1_MALE_SUPER_HEAVY","12","3.75"
"BLUE_ADULT_MALE_ULTRA_HEAVY","14","3.642857142857143"
"BLACK_MASTER_1_MALE_MEDIUM_HEAVY","12","3.75"
"BLACK_MASTER_2_MALE_LIGHT_FEATHER","5","2.8"
"WHITE_MASTER_2_MALE_LIGHT","14","3.642857142857143"
"BROWN_MASTER_2_MALE_LIGHT","13","3.6923076923076925"
"BROWN_MASTER_4_MALE_FEATHER","3","1.3333333333333333"
"BLUE_MASTER_4_MALE_LIGHT","5","2.8"
"WHITE_ADULT_MALE_FEATHER","54","5.462962962962963"
"WHITE_JUVENILE_2_FEMALE_HEAVY","1","0.0"
"PURPLE_MASTER_1_MALE_LIGHT_FEATHER","10","3.9"
"WHITE_MASTER_2_MALE_MEDIUM_HEAVY","21","4.761904761904762"
